radius,robots,seed,success,strict_success,physical_collision_events,physical_collision_episode,collision_events,collision_episode,min_separation,path_length,final_error,control_time_ms,average_degree
2.0,5,10,0,0,1,1,2,1,0.2231249249306897,35.321435480634825,0.7662600996700926,1.1404884435857336,0.10124481478667358
2.0,5,11,0,0,2,1,2,1,0.022027804623118527,39.64984459242843,0.8553198197023988,0.7736989801439146,0.08796680629006065
2.0,5,12,0,0,2,1,2,1,0.10933406052658044,41.438513177324545,0.7543032557491083,0.7671706475472698,0.08298755310383081
2.0,5,13,0,0,1,1,1,1,0.38844593908150854,45.76751965228243,0.8185637530289661,0.7816174513815591,0.12282157859366959
2.0,5,14,0,0,2,1,2,1,0.15094560879707536,35.079808752593344,0.861636473080592,0.7626187599574527,0.08630705522798404
2.0,5,15,0,0,2,1,2,1,0.10643355860944498,47.12365297014764,0.7135658517975505,0.765433517517522,0.10456431691082681
2.0,5,16,1,0,1,1,2,1,0.1925619667567287,29.68400654233617,0.5980521258498003,0.7724992795071254,0.08298755310383081
2.0,5,17,0,0,2,1,2,1,0.3657054676812539,38.87442215639319,0.9034042014821683,0.7659489075498035,0.08796680629006065
2.0,5,18,0,0,1,1,1,1,0.10303849498151817,38.252519341597534,0.6615552430103285,0.7676231053968271,0.10788381990060766
2.0,5,19,0,0,1,1,1,1,0.18017216217608947,35.87752135591397,0.7614169271872256,0.780124570398281,0.10456431752913226
2.0,10,10,0,0,3,1,6,1,0.08689914982312663,73.53278059352498,0.8202435377765962,0.9969375290287038,0.4514522848658542
2.0,10,11,0,0,4,1,4,1,0.2349231165667815,84.23117234044177,0.7187875078637334,1.0182679980061948,0.342738592587566
2.0,10,12,0,0,4,1,4,1,0.03718647064722223,88.10983702993194,0.7244619102178016,0.9845822195832928,0.4887966867922747
2.0,10,13,0,0,3,1,4,1,0.00567328814847874,86.10223849566518,0.7222123145427284,0.9943574919210126,0.3468879693771299
2.0,10,14,0,0,4,1,4,1,0.12947667059368043,76.88266891955843,0.7105854973494713,0.9974486757225046,0.565975113528398
2.0,10,15,1,0,5,1,5,1,0.045465412512189454,91.66174570116544,0.6375016408177234,1.0335890324010204,0.4058091311533916
2.0,10,16,0,0,5,1,5,1,0.08162071200044888,73.45498731598492,1.013250486716628,1.00635306055968,0.3958506243481181
2.0,10,17,0,0,4,1,4,1,0.12989585698353154,81.73264033141167,0.7984362023575551,0.9964292694348842,0.5095435699362972
2.0,10,18,1,0,1,1,3,1,0.49647313887967987,86.2894128668646,0.6287647507647718,1.0288184974342585,0.5643153601785913
2.0,10,19,0,0,3,1,3,1,0.38809207155911807,81.28797980311455,0.7355147165136137,0.9996459198494753,0.5626556063341402
2.0,20,10,1,0,19,1,22,1,0.02280339590466629,229.0126270955097,0.4286434634681804,1.5203426650259644,2.529460560236729
2.0,20,11,1,0,14,1,19,1,0.03603450236169903,269.8827153801348,0.36715538178876655,1.4860572041167568,2.3008298537543204
2.0,20,12,1,0,23,1,30,1,0.10504848246928664,226.03421446448564,0.42483070580918236,1.4905845998631169,2.4514522789919524
2.0,20,13,1,0,19,1,24,1,0.02427566025610588,224.39422858881048,0.4963949651524655,1.5089342875095706,2.475518655480191
2.0,20,14,1,0,18,1,31,1,0.015266612031982032,226.32736459640066,0.41704757293572703,1.472143700812012,2.6078837926951683
2.0,20,15,1,0,17,1,20,1,0.021088255695782588,252.05490864073712,0.3403726396968608,1.4784707493769627,2.4228215667716695
2.0,20,16,1,0,14,1,20,1,0.05740323772428583,280.0790175518019,0.30898579005888294,1.4706144342198968,2.339419073583674
